DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2013,7642.6,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2014,8111.7,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2015,8444.4,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2016,8480.8,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2017,8932.7,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2018,9287.2,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2019,9619.5,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2020,9269.8,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2021,10286.7,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Albania,2022,12188.9,,
ESTAT:NAMA_10_PC(1.0),02/12/25 11:00:00,Annual,"Current prices, purchasing power standard (PPS, EU27 from 2020) per capita",Gross domestic product at market prices,Austria,2013,34310.7,,
